university,city,state,international_students_natlib,international_students_opendoors,international_students_qs,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,type3_natlib,size_qs,type1_qs,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,selectivity,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
CUNY Borough of Manhattan Community College,New York,NY,NA,736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,11
CUNY LaGuardia Community College,Long Island City,NY,NA,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,11
CUNY--City College,New York,NY,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,19010,12587,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Baptist University,Dallas,TX,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,33620,2874,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,5,11
Dallas College,Dallas,TX,NA,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4-year,74781,6,5,1,1,11
Davidson College,Davidson,NC,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,21
De Anza College,Cupertino,CA,NA,1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,13
Denison University,Granville,OH,0.17,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,2,23
DePauw University,Greencastle,IN,0.17,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,2,32
Diablo Valley College,Pleasant Hill,CA,NA,693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,21
Dickinson College,Carlisle,PA,0.11,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,2,13
Drew University,Madison,NJ,0.11,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,4,21
Earlham College,Richmond,IN,0.2,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,21,8,2,3,32
Edmonds College,Lynnwood,WA,NA,698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,9,1,2,21
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,FL,NA,1010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Embry-Riddle Aeronautical University - Prescott,Prescott,AZ,NA,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emerson College,Boston,MA,NA,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,18,14,2,4,11
Fairfax University of America,Fairfax,VA,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,6,2,6,21
Fisk University,Nashville,TN,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,3,11
Florida Institute of Technology,Melbourne,FL,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,43246,3475,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,2,5,13
Florida National University,Hialeah,FL,NA,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foothill College,Los Altos Hills,CA,NA,748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,1,2,21
Franklin and Marshall College,Lancaster,PA,0.18,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,13
Full Sail University,Winter Park,FL,NA,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,15,3,3,21
Gallaudet University,Washington,DC,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,17112,1019,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,2,5,11
Gannon University,Erie,PA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,34526,3208,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,4,13
Gettysburg College,Gettysburg,PA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,2,13
Glendale Community College,Glendale,CA,NA,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,21
Golden West College,Huntington Beach,CA,NA,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,21
Gordon College,Wenham,MA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,4,21
Green River College,Auburn,WA,NA,908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,12,1,2,13
Grinnell College,Grinnell,IA,0.2,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,21,11,2,2,33
Grossmont College,El Cajon,CA,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,21
Hamilton College,Clinton,NY,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,22
Hampshire College,Amherst,MA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,21,8,2,2,21
Harding University,Searcy,AR,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,22470,3574,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,4,32
Harvey Mudd College,Claremont,CA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,8,2,2,21
Haverford College,Haverford,PA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,21
Hobart and William Smith Colleges,Geneva,NY,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hollins University,Roanoke,VA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,3,22
"Holy Cross College at Notre Dame, Indiana",Notre Dame,IN,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Community College System,Houston,TX,NA,3636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irvine Valley College,Irvine,CA,NA,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,11
Juniata College,Huntingdon,PA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,3,32
Kapiolani Community College,Honolulu,HI,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,1,1,11
Kenyon College,Gambier,OH,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,32
Knox College,Galesburg,IL,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,2,32
Lafayette College,Easton,PA,0.08,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,21
Lake Forest College,Lake Forest,IL,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,21,11,2,3,21
Lawrence Technological University,Southfield,MI,NA,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,2,4,13
Lawrence University,Appleton,WI,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,2,13
Lincoln Memorial University,Harrogate,TN,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,24210,1817,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,13,2,6,32
Loma Linda University,Loma Linda,CA,NA,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,2,6,21
Lone Star College System,The Woodlands,TX,NA,2884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4-year,70109,2,5,1,1,13
Loyola Marymount University,Los Angeles,CA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,53051,6673,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,2,5,11
Luther College,Decorah,IA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,2,33
Lynn University,Boca Raton,FL,NA,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,2,4,13
Lyon College,Batesville,AR,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,21,8,2,2,33
Macalester College,St. Paul,MN,0.13,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,11
Maryland Institute College of Art,Baltimore,MD,NA,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,11,2,4,11
Marymount University,Arlington,VA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,10,2,5,12
Maryville College,Maryville,TN,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,2,21
Massachusetts College of Art and Design,Boston,MA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,11,1,3,11
MCPHS University,Boston,MA,NA,941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,13,2,5,11
Menlo College,Atherton,CA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,8,2,2,21
Miami University - Middletown,Middletown,OH,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami University--Oxford,Oxford,OH,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,37379,16522,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami-Dade College,Miami,FL,NA,974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middlebury College,Middlebury,VT,0.11,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,3,32
Midwestern State University,Wichita Falls,TX,NA,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13,1,3,12
Minnesota State University - Mankato,Mankato,MN,NA,1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri Valley College,Marshall,MO,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,11,2,3,33
Monroe College,New Rochelle,NY,NA,1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,12,3,4,11
Montgomery College,Rockville,MD,NA,1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,1,13
Moody Bible Institute,Chicago,IL,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,11,2,4,11
Morgan State University,Baltimore,MD,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,18480,6270,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,1,4,11
Mount Holyoke College,South Hadley,MA,0.24,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,3,21
Mt. San Antonio College,Walnut,CA,NA,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2-year,28393,NA,NA,NA,NA,NA
Musicians Institute,Hollywood,CA,NA,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,6,3,2,11
New England Conservatory of Music,Boston,MA,NA,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Institute of Technology - Old Westbury,Old Westbury,NY,NA,1336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York School of Interior Design,New York,NY,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,6,2,5,11
Niagara University,Niagara University,NY,NA,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,2,4,21
Northeastern University - Boston,Boston,MA,NA,15880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeastern University - Seattle,Seattle,WA,NA,968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Virginia Community College,Annandale,VA,NA,1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2-year,52873,2,5,1,1,21
Northwest Missouri State University,Maryville,MO,NA,808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,1,4,33
Nova Southeastern University,Ft. Lauderdale,FL,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,34570,6314,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,2,6,21
Oakland City University,Oakland City,IN,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,8,2,4,32
Oakland Community College,Royal Oak,MI,NA,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,21
Oberlin College,Oberlin,OH,0.11,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,3,31
Occidental College,Los Angeles,CA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,11
Oglethorpe University,Atlanta,GA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,2,21
Ohio State University - Columbus,Columbus,OH,NA,6865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio Wesleyan University,Delaware,OH,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,2,21
Oklahoma City University,Oklahoma City,OK,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,32744,1526,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,2,5,11
Oral Roberts University,Tulsa,OK,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,14,2,4,11
Orange Coast College,Costa Mesa,CA,NA,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,12
Otis College of Art and Design,Los Angeles,CA,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,2,3,11
Ottawa University - Kansas City,Overland Park,KS,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pace University,New York,NY,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,48830,7994,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,16,2,5,11
Pasadena City College,Pasadena,CA,NA,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,12
Pennsylvania State University - Penn State Abington,Abington,PA,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania State University - Penn State Harrisburg,Middletown,PA,NA,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pepperdine University,Malibu,CA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,59702,3459,National,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,17,14,2,6,21
Peralta Community College District,Oakland,CA,NA,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perimeter College of Georgia State University,Clarkston,GA,NA,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pitzer College,Claremont,CA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,21,8,2,2,21
Pomona College,Claremont,CA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,21
Portland Community College,Portland,OR,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,1,11
Pratt Institute,Brooklyn,NY,NA,2126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Principia College,Elsah,IL,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,2,41
Randolph College,Lynchburg,VA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,4,13
Rhode Island School of Design,Providence,RI,NA,1077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,2,4,12
Rhodes College,Memphis,TN,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,3,11
Ringling College of Art and Design,Sarasota,FL,NA,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,11,2,2,13
Robert Morris University,Moon Township,PA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,32770,3312,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,3,21
Rose-Hulman Institute of Technology,Terre Haute,IN,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,28,11,2,3,13
Rutgers University--New Brunswick,Piscataway,NJ,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,33005,35844,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Leo University,Saint Leo,FL,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,2,5,23
